Record Id.,Speed (km/h),Fuel (%),Latitude,Engine Temp (°C),Timestamp,Longitude,Driving Behavior
1,31,99.94,18.521278,31,2026-07-20T15:21:52.000,73.857605,Normal Driving
2,37,99.91,18.522156,32.4,2026-07-20T15:22:03.000,73.858509,Normal Driving
3,43,99.85,18.523034,32.9,2026-07-20T15:22:14.000,73.859414,Normal Driving
4,48,99.78,18.523911,33.7,2026-07-20T15:22:25.000,73.860319,Normal Driving
5,52,99.75,18.524789,35.1,2026-07-20T15:22:35.000,73.861223,Normal Driving
6,58,99.67,18.525667,36.5,2026-07-20T15:22:46.000,73.862128,Normal Driving
7,64,99.61,18.526545,37.7,2026-07-20T15:22:57.000,73.863032,Normal Driving
8,70,99.54,18.527423,38.8,2026-07-20T15:23:08.000,73.863937,Normal Driving
9,78,99.51,18.528301,39.9,2026-07-20T15:23:19.000,73.864842,Harsh Acceleration
10,79,99.48,18.529178,41.2,2026-07-20T15:23:29.000,73.865746,Normal Driving
11,78,99.41,18.530056,41.9,2026-07-20T15:23:40.000,73.866651,Normal Driving
12,78,99.37,18.530934,42.6,2026-07-20T15:23:51.000,73.867556,Normal Driving
13,78,99.3,18.531812,43.7,2026-07-20T15:24:02.000,73.86846,Normal Driving
14,78,99.26,18.53269,45,2026-07-20T15:24:13.000,73.869365,Normal Driving
15,78,99.21,18.533568,45.6,2026-07-20T15:24:24.000,73.87027,Normal Driving
16,78,99.16,18.534445,46.5,2026-07-20T15:24:35.000,73.871174,Normal Driving
17,79,99.1,18.535323,47.6,2026-07-20T15:24:45.000,73.872079,Normal Driving
18,80,99.02,18.536201,48.5,2026-07-20T15:24:56.000,73.872983,Normal Driving
19,82,98.98,18.537079,49.8,2026-07-20T15:25:07.000,73.873888,Overspeed
20,82,98.94,18.537957,51.3,2026-07-20T15:25:18.000,73.874793,Overspeed
21,76,98.87,18.538835,51.8,2026-07-20T15:25:29.000,73.875697,Normal Driving
22,69,98.8,18.539712,53.2,2026-07-20T15:25:40.000,73.876602,Normal Driving
23,65,98.74,18.54059,54.3,2026-07-20T15:25:50.000,73.877507,Normal Driving
24,58,98.7,18.541468,55.5,2026-07-20T15:26:01.000,73.878411,Normal Driving
25,51,98.65,18.542346,57,2026-07-20T15:26:12.000,73.879316,Normal Driving
26,45,98.61,18.543224,56.4,2026-07-20T15:26:23.000,73.880221,Normal Driving
27,41,98.58,18.544102,57,2026-07-20T15:26:34.000,73.881125,Normal Driving
28,34,98.5,18.54498,56.7,2026-07-20T15:26:45.000,73.88203,Normal Driving
29,29,98.46,18.545857,55.9,2026-07-20T15:26:56.000,73.882934,Normal Driving
